,mean,mean,mean,mean,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta2,isotonic,sigmoid,None,beta2,isotonic,sigmoid
dataset,,,,,,,,
abalone,63.4742882765,63.5294700406,63.4095514806,63.5270317723,1.12131005891,1.15213933839,1.0633964953,1.12650461879
autos,73.5016281459,75.358663865,74.5705721251,75.1836399228,6.04008496425,4.95583922026,6.00126347401,5.50550731069
balance-scale,95.2051690333,95.2051690333,95.1250296604,95.2051690333,1.52078048052,1.52078048052,1.46780343806,1.52078048052
car,71.713704799,71.6905498051,71.8350584756,71.8756889367,1.94292590071,1.90393526299,1.6304542672,1.90374946744
cleveland,83.8124293785,83.8124683421,83.7129943503,83.6429183713,4.60215423125,4.88786722643,4.75432372396,4.54752534976
credit-approval,86.7043434937,86.7957170056,86.674275343,86.8269506575,2.94364274577,2.98091576852,2.97441158286,3.01656162832
dermatology,99.7229300729,99.7229300729,99.7229300729,99.7229300729,0.559843572751,0.559843572751,0.559843572751,0.559843572751
diabetes,77.0576351753,77.0836940837,76.5755878109,77.0965962142,3.10052967575,3.10951816516,2.92694011331,3.04554531231
ecoli,96.2918751796,96.2624101694,95.9945660605,96.2922742181,2.48398594534,2.31848525445,2.49389627786,2.46504119875
flare,81.8109343864,81.818495751,82.1656156022,81.3124181446,1.31499841713,1.39741807431,1.31740512863,1.58728983621
german,75.89,75.34,75.61,75.36,1.66074116722,1.61131205252,1.7121713151,1.62894732504
glass,64.1091429243,63.7570606396,63.6946038458,63.1965049163,5.25393861494,3.39146608094,5.4583811503,3.81782437843
heart-statlog,83.962962963,84.037037037,83.3703703704,84.1851851852,4.57618432812,4.50341950211,4.85635317669,4.53933102572
hepatitis,85.0701612903,84.8572580645,84.8615591398,84.9323924731,5.32922422483,4.68761118196,5.01979948706,4.92649735407
horse,81.5129943503,81.3462906363,81.4418449569,81.4468370844,4.52466329506,4.47518927709,4.18549643924,4.55760398219
ionosphere,88.4076458753,87.7267605634,88.0663983903,87.4418511066,3.199870465,3.78517330351,3.70837926667,3.86797745791
iris,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
landsat-satellite,98.6947749683,98.6979023415,98.6885867534,98.6901153823,0.331370246929,0.327035706007,0.319067304076,0.313415419913
letter,97.6982836289,97.7108517258,97.7600078238,97.7328630704,0.118052322012,0.109527196243,0.131708902269,0.123652293213
libras-movement,97.9466666667,98.04,98.18,98.04,1.33564425587,1.43117223571,1.37058505805,1.43117223571
lung-cancer,33.2,93.1,92.7947368421,90.2842105263,7.7491699792,5.93968068666,7.49033900164,6.11196343325
mfeat-karhunen,99.14,99.195,99.195,99.2,0.420034012228,0.414316501319,0.435333557313,0.428571428571
mfeat-morphological,99.85,99.85,99.85,99.85,0.195615199109,0.195615199109,0.195615199109,0.195615199109
mfeat-zernike,99.455,99.455,99.46,99.465,0.348795302814,0.35243323293,0.351236881518,0.353589465629
mushroom,96.528814916,96.5423571669,96.8882389962,96.5534318201,0.399730133832,0.394008278703,0.412692097835,0.388572972613
optdigits,98.8932545298,98.8986164119,98.896821056,98.884318067,0.280716640916,0.279368264833,0.29341620202,0.278044326843
page-blocks,94.973429072,94.9679596465,95.0190695446,94.9862495665,0.496814626404,0.485379115313,0.519365125569,0.487587919963
pendigits,99.2822374548,99.2904271315,99.2876969585,99.3022486229,0.15562890154,0.159295662708,0.163152393643,0.153540027485
scene-classification,80.7683780333,80.4490398993,80.930756255,81.0719561526,1.6161942251,0.942108853998,1.18349243653,1.15537033775
segment,99.6493506494,99.6493506494,99.6363636364,99.6406926407,0.243043458418,0.269176588656,0.260328573653,0.271722050387
shuttle,96.842757469,96.836944928,97.8048270845,96.8480778214,0.112530470262,0.107556649005,0.0834895608309,0.110913852813
sonar,77.5238095238,76.9475731302,77.2775842044,77.4772978959,5.65591371823,5.94658865586,5.8447419766,5.98814924206
spambase,92.5493106679,92.4384716901,92.8906177819,92.6232048951,0.843119805031,0.830932590694,0.858766516222,0.86192741422
tic-tac,68.4131632667,67.1699106602,68.6422208583,67.6500118118,2.08026784501,1.60844959154,2.33943387389,1.84704597938
vehicle,95.2014009678,95.1662535956,94.9777970863,95.1895699636,1.77624355853,1.70563481431,1.61524524392,1.70420136601
vowel,94.1616161616,94.5757575758,95.2828282828,94.7171717172,1.05625340025,1.13992547445,1.13443226696,1.1687866309
waveform-5000,85.2198221178,85.1978561079,85.3578921719,84.8018877359,1.10014771437,1.10880697458,1.23043847168,1.14131339486
wdbc,97.7132743363,97.6775682955,97.8194690265,97.6778761062,1.28031112602,1.30636597716,1.1535860783,1.25552085998
wpbc,78.7727395412,79.021120108,78.8177462888,79.2777327935,4.85523247564,3.69879291268,4.38114835674,3.46780689496
yeast,67.8618326965,67.7611597123,68.3338857833,67.7952188351,1.95719574813,2.18751805412,2.22726098669,2.06444175497
zoo,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
